"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:11:37,4996021","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008","SUCCESS","Desired Access: Read"
"18:11:37,4996080","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\LibraryPath","SUCCESS","Type: REG_SZ, Length: 74, Data: C:\Program Files\Bonjour\mdnsNSP.dll"
"18:11:37,4996126","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\LibraryPath","SUCCESS","Type: REG_SZ, Length: 74, Data: C:\Program Files\Bonjour\mdnsNSP.dll"
"18:11:37,4996169","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\DisplayString","SUCCESS","Type: REG_SZ, Length: 16, Data: mdnsNSP"
"18:11:37,4996212","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\DisplayString","SUCCESS","Type: REG_SZ, Length: 16, Data: mdnsNSP"
"18:11:37,4996253","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\DisplayString","SUCCESS","Type: REG_SZ, Length: 16, Data: mdnsNSP"
"18:11:37,4996293","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\DisplayString","SUCCESS","Type: REG_SZ, Length: 16, Data: mdnsNSP"
"18:11:37,4996336","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\ProviderId","SUCCESS","Type: REG_BINARY, Length: 16, Data: E9 E6 00 B6 3B 55 19 4A 86 96 33 5E 5C 89 61 53"
"18:11:37,4996376","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\AddressFamily","NAME NOT FOUND","Length: 144"
"18:11:37,4996420","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\SupportedNameSpace","SUCCESS","Type: REG_DWORD, Length: 4, Data: 12"
"18:11:37,4996463","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"18:11:37,4996503","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\Version","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"18:11:37,4996546","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\StoresServiceClassInfo","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"18:11:37,4996587","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"18:11:37,4996630","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"18:11:37,4996682","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000008","SUCCESS",""
"18:11:37,4996729","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64","SUCCESS",""
"18:11:37,4996784","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS",""
"18:11:37,4996874","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4996933","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\Winsock2\Parameters","REPARSE","Desired Access: Query Value"
"18:11:37,4997019","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\Winsock2\Parameters","SUCCESS","Desired Access: Query Value"
"18:11:37,4997100","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Ws2_32NumHandleBuckets","NAME NOT FOUND","Length: 144"
"18:11:37,4997143","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Ws2_32SpinCount","NAME NOT FOUND","Length: 144"
"18:11:37,4997189","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS",""
"18:11:37,4999168","pacman.exe","25220","CreateFile","C:\Windows\System32\NapiNSP.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4999453","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\NapiNSP.dll","SUCCESS","CreationTime: 29/09/2017 14:42:03, LastAccessTime: 29/09/2017 14:42:03, LastWriteTime: 29/09/2017 14:42:03, ChangeTime: 27/11/2017 06:17:31, FileAttributes: A"
"18:11:37,4999545","pacman.exe","25220","CloseFile","C:\Windows\System32\NapiNSP.dll","SUCCESS",""
"18:11:37,5000334","pacman.exe","25220","CreateFile","C:\Windows\System32\NapiNSP.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5000689","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\NapiNSP.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5000853","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\NapiNSP.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5001515","pacman.exe","25220","Load Image","C:\Windows\System32\NapiNSP.dll","SUCCESS","Image Base: 0x7ffd7cf20000, Image Size: 0x16000"
"18:11:37,5002857","pacman.exe","25220","CloseFile","C:\Windows\System32\NapiNSP.dll","SUCCESS",""
"18:11:37,5007510","pacman.exe","25220","CreateFile","C:\Windows\System32\pnrpnsp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5007754","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\pnrpnsp.dll","SUCCESS","CreationTime: 29/09/2017 14:41:17, LastAccessTime: 29/09/2017 14:41:17, LastWriteTime: 29/09/2017 14:41:17, ChangeTime: 27/11/2017 06:19:57, FileAttributes: A"
"18:11:37,5007844","pacman.exe","25220","CloseFile","C:\Windows\System32\pnrpnsp.dll","SUCCESS",""
"18:11:37,5008607","pacman.exe","25220","CreateFile","C:\Windows\System32\pnrpnsp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5008954","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\pnrpnsp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5009118","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\pnrpnsp.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5009665","pacman.exe","25220","Load Image","C:\Windows\System32\pnrpnsp.dll","SUCCESS","Image Base: 0x7ffd79dd0000, Image Size: 0x1a000"
"18:11:37,5010503","pacman.exe","25220","CloseFile","C:\Windows\System32\pnrpnsp.dll","SUCCESS",""
"18:11:37,5014726","pacman.exe","25220","CreateFile","C:\Windows\System32\nlaapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5015054","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\nlaapi.dll","SUCCESS","CreationTime: 13/02/2018 22:56:41, LastAccessTime: 13/02/2018 22:56:41, LastWriteTime: 10/02/2018 05:45:48, ChangeTime: 14/02/2018 18:09:45, FileAttributes: A"
"18:11:37,5015143","pacman.exe","25220","CloseFile","C:\Windows\System32\nlaapi.dll","SUCCESS",""
"18:11:37,5015991","pacman.exe","25220","CreateFile","C:\Windows\System32\nlaapi.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5016352","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\nlaapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5016513","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\nlaapi.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5017280","pacman.exe","25220","Load Image","C:\Windows\System32\nlaapi.dll","SUCCESS","Image Base: 0x7ffd8c6d0000, Image Size: 0x18000"
"18:11:37,5018087","pacman.exe","25220","CloseFile","C:\Windows\System32\nlaapi.dll","SUCCESS",""
"18:11:37,5020270","pacman.exe","25220","CreateFile","C:\Windows\System32\mswsock.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5020526","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\mswsock.dll","SUCCESS","CreationTime: 29/09/2017 14:41:44, LastAccessTime: 29/09/2017 14:41:44, LastWriteTime: 29/09/2017 14:41:44, ChangeTime: 27/11/2017 06:15:25, FileAttributes: A"
"18:11:37,5020610","pacman.exe","25220","CloseFile","C:\Windows\System32\mswsock.dll","SUCCESS",""
"18:11:37,5021503","pacman.exe","25220","CreateFile","C:\Windows\System32\mswsock.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5021874","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\mswsock.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5022051","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\mswsock.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5022558","pacman.exe","25220","Load Image","C:\Windows\System32\mswsock.dll","SUCCESS","Image Base: 0x7ffd8f270000, Image Size: 0x66000"
"18:11:37,5023538","pacman.exe","25220","CloseFile","C:\Windows\System32\mswsock.dll","SUCCESS",""
"18:11:37,5025959","pacman.exe","25220","CreateFile","C:\Windows\System32\dnsapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5026237","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\dnsapi.dll","SUCCESS","CreationTime: 13/02/2018 22:56:51, LastAccessTime: 13/02/2018 22:56:51, LastWriteTime: 10/02/2018 07:16:57, ChangeTime: 14/02/2018 18:09:48, FileAttributes: A"
"18:11:37,5026326","pacman.exe","25220","CloseFile","C:\Windows\System32\dnsapi.dll","SUCCESS",""
"18:11:37,5027341","pacman.exe","25220","CreateFile","C:\Windows\System32\dnsapi.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5027696","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\dnsapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5027851","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\dnsapi.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5028324","pacman.exe","25220","Load Image","C:\Windows\System32\dnsapi.dll","SUCCESS","Image Base: 0x7ffd8f040000, Image Size: 0xb6000"
"18:11:37,5029251","pacman.exe","25220","Load Image","C:\Windows\System32\nsi.dll","SUCCESS","Image Base: 0x7ffd92620000, Image Size: 0x8000"
"18:11:37,5029752","pacman.exe","25220","CloseFile","C:\Windows\System32\dnsapi.dll","SUCCESS",""
"18:11:37,5030958","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\9ca335ed-c0a6-4b4d-b084-9c9b5143aff0","NAME NOT FOUND","Length: 524"
"18:11:37,5031397","pacman.exe","25220","QueryNameInformationFile","C:\Windows\System32\dnsapi.dll","SUCCESS","Name: \Windows\System32\dnsapi.dll"
"18:11:37,5033608","pacman.exe","25220","CreateFile","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5033914","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","CreationTime: 29/09/2017 14:41:44, LastAccessTime: 29/09/2017 14:41:44, LastWriteTime: 29/09/2017 14:41:44, ChangeTime: 27/11/2017 06:15:10, FileAttributes: A"
"18:11:37,5034022","pacman.exe","25220","CloseFile","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS",""
"18:11:37,5034996","pacman.exe","25220","CreateFile","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5035416","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\IPHLPAPI.DLL","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5035623","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5036168","pacman.exe","25220","Load Image","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","Image Base: 0x7ffd8f000000, Image Size: 0x39000"
"18:11:37,5036826","pacman.exe","25220","CloseFile","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS",""
"18:11:37,5038304","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5038425","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5038737","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"18:11:37,5038960","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5039052","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5039133","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","SUCCESS","Desired Access: Read"
"18:11:37,5039225","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5039281","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"18:11:37,5039423","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 20, Data: RESIDUATO"
"18:11:37,5039507","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 20, Data: RESIDUATO"
"18:11:37,5039590","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"18:11:37,5039649","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"18:11:37,5039714","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5039776","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5039946","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"18:11:37,5040063","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5040119","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5040175","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","SUCCESS","Desired Access: Read"
"18:11:37,5040236","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5040283","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"18:11:37,5040363","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 20, Data: RESIDUATO"
"18:11:37,5040419","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Hostname","SUCCESS","Type: REG_SZ, Length: 20, Data: RESIDUATO"
"18:11:37,5040481","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"18:11:37,5040533","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"18:11:37,5040592","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5040648","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5040787","pacman.exe","25220","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"18:11:37,5040901","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5040954","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","REPARSE","Desired Access: Read"
"18:11:37,5041012","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\DnsCache\Parameters","SUCCESS","Desired Access: Read"
"18:11:37,5041071","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5041121","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows NT\DnsClient","NAME NOT FOUND","Desired Access: Read"
"18:11:37,5041182","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,5041229","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\System\DNSClient","NAME NOT FOUND","Desired Access: Query Value"
"18:11:37,5041294","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Domain","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"18:11:37,5041349","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Domain","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"18:11:37,5041430","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS",""
"18:11:37,5041479","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\Dnscache\Parameters","SUCCESS",""
"18:11:37,5043146","pacman.exe","25220","CreateFile","C:\Windows\System32\winrnr.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5043474","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\winrnr.dll","SUCCESS","CreationTime: 29/09/2017 14:41:45, LastAccessTime: 29/09/2017 14:41:45, LastWriteTime: 29/09/2017 14:41:45, ChangeTime: 27/11/2017 06:17:40, FileAttributes: A"
"18:11:37,5043576","pacman.exe","25220","CloseFile","C:\Windows\System32\winrnr.dll","SUCCESS",""
"18:11:37,5044460","pacman.exe","25220","CreateFile","C:\Windows\System32\winrnr.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5044852","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\winrnr.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5045035","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\winrnr.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5045582","pacman.exe","25220","Load Image","C:\Windows\System32\winrnr.dll","SUCCESS","Image Base: 0x7ffd89cd0000, Image Size: 0xe000"
"18:11:37,5046238","pacman.exe","25220","CloseFile","C:\Windows\System32\winrnr.dll","SUCCESS",""
"18:11:37,5048606","pacman.exe","25220","CreateFile","C:\Windows\System32\wshbth.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5048958","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\wshbth.dll","SUCCESS","CreationTime: 29/09/2017 14:41:33, LastAccessTime: 29/09/2017 14:41:33, LastWriteTime: 29/09/2017 14:41:33, ChangeTime: 27/11/2017 06:17:40, FileAttributes: A"
"18:11:37,5049070","pacman.exe","25220","CloseFile","C:\Windows\System32\wshbth.dll","SUCCESS",""
"18:11:37,5053785","pacman.exe","25220","CreateFile","C:\Windows\System32\wshbth.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5054282","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\wshbth.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5054465","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\wshbth.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5055071","pacman.exe","25220","Load Image","C:\Windows\System32\wshbth.dll","SUCCESS","Image Base: 0x7ffd6a9e0000, Image Size: 0x15000"
"18:11:37,5056168","pacman.exe","25220","CloseFile","C:\Windows\System32\wshbth.dll","SUCCESS",""
"18:11:37,5058676","pacman.exe","25220","CreateFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5058864","pacman.exe","25220","QueryBasicInformationFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","CreationTime: 30/08/2011 23:05:32, LastAccessTime: 13/02/2018 21:43:07, LastWriteTime: 30/08/2011 23:05:32, ChangeTime: 13/02/2018 21:43:07, FileAttributes: A"
"18:11:37,5058951","pacman.exe","25220","CloseFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS",""
"18:11:37,5059699","pacman.exe","25220","CreateFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5060027","pacman.exe","25220","CreateFileMapping","C:\Program Files\Bonjour\mdnsNSP.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,5060225","pacman.exe","25220","CreateFileMapping","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,5060719","pacman.exe","25220","Load Image","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","Image Base: 0x68300000, Image Size: 0x26000"
"18:11:37,5061106","pacman.exe","25220","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS","Desired Access: Read"
"18:11:37,5061291","pacman.exe","25220","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest","NAME NOT FOUND","Length: 20"
"18:11:37,5061403","pacman.exe","25220","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS",""
"18:11:37,5062111","pacman.exe","25220","CreateFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,5062426","pacman.exe","25220","QueryBasicInformationFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS","CreationTime: 30/08/2011 23:05:32, LastAccessTime: 13/02/2018 21:43:07, LastWriteTime: 30/08/2011 23:05:32, ChangeTime: 13/02/2018 21:43:07, FileAttributes: A"
"18:11:37,5062967","pacman.exe","25220","CloseFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS",""
"18:11:37,5063688","pacman.exe","25220","CloseFile","C:\Program Files\Bonjour\mdnsNSP.dll","SUCCESS",""
"18:11:37,5065094","pacman.exe","25220","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
